Reference,Source,Topic,PerceivedExpertise,Question,Answer
E0001,Expert,Limitations in the design or execution in randomized trials,Basic,What aspects do I need to consider when evaluating limitations in the design or execution in randomized trials?,"Randomization process, systematic deviations from protocol, missing outcome data, outcome measurement, and selection of the reported result."
E0002,Expert,Limitations in the design or execution in randomized trials,Basic,"In the assessment of limitations in the design or execution in randomized trials, how can I compare trials with high and low risk of bias?","Sensitivity analyses can be conducted using both statistical and graphical methods. Statistical methods often involve comparing pooled estimates from studies with low and high risks of bias using goodness-of-fit tests, such as the Chi-Square test. A significant p-value suggests that the differences between low and high risk of bias trials are unlikely to be due to chance. However, because the unit of analysis in systematic reviews is individual trials, these statistical tests are typically underpowered. Additionally, the tests typically rely on the signal-to-noise principle, so they may fail to detect a true difference if the effect estimates' difference between low and high risk of bias trials is small or if there is important imprecision in the estimates. Sensitivity analysis can also be conducted using a graphical approach with pre-established ranges for the magnitude of the effect. If the effect estimates from studies with low and high risks of bias fall into different ranges of the effect (e.g., moderate vs. small), rating down the certainty of the evidence may be warranted. Conversely, if the effect estimates from low and high risk of bias studies fall within the same range (e.g., both in the trivial range), no rating down is required."
E0018,Expert,Indirectness,Basic,"In my meta-analysis, there were some studies which had comparators different from my comparator of interest. How can I evaluate whether these differences correspond to a serious indirectness concern?",Conduct sensitivity analyses using different comparators and assess whether absolute estimates are concordant.
E0023,Expert,Making answerable questions,Basic,What are possible ways of identifying potentially relevant outcomes for systematic reviews?,"Brainstorming about what outcomes to consider is the most common source of outcomes. However, the GRADE users should also consider other ways of identifying potentially relevant, individual-important outcomes such as from research studies of how affected individuals value outcomes.
Another valuable source for identifying relevant outcomes is the use of core outcome sets (COS), when available. Core outcome sets are standardized, consensus-driven lists of key outcomes that should be measured and reported in all clinical trials within a specific healthcare area.
"
E0011,Expert,Imprecision,Basic,"When evaluating imprecision, what are the situations in which I need to consider if the analysis has a sufficiently large number of participants?","When GRADE users face the situation of a confidence interval that does not overlap the thresholds of interest (i.e., no reason to rate down for imprecision based on the confidence intervals) and the effect is sufficiently large (e.g., relative risk reduction or an increase over 50%), it is important to check whether the analysis has sufficient power by assessing the review information size. That is, if the effect is large or moderate and it is based on a small number of events, you may need to use the review information size (RIS) to determine the required sample size for small, moderate, or large effects to assess if further rating down is required."
A0004,AI,Overview of the GRADE approach,Basic,What are the four levels of certainty of evidence in GRADE?,"The four levels of certainty of evidence in GRADE are high, moderate, low, and very low."
A0005,AI,Overview of the GRADE approach,Basic,What is high certainty evidence?,High certainty evidence means there is high confidence that the true value of the estimate is on one side of a threshold of interest or within a specific range.
A0009,AI,Overview of the GRADE approach,Basic,What types of studies does GRADE primarily evaluate for interventions?,GRADE primarily evaluates Randomised Controlled Trials (RCTs) and Non-Randomized Studies about Interventions (NRSI).
A0018,AI,Overview of the GRADE approach,Basic,What is 'dissemination bias' in the context of GRADE?,Dissemination bias evaluates whether the accessibility of study results is influenced by the nature of their findings.
A0041,AI,The development methods of GRADE,Basic,What is the first step in initiating a guidance project?,"The first step is Topic Registration, where topics are proposed and registered by project groups comprising GWG members and external experts."
A0042,AI,The development methods of GRADE,Basic,Who scrutinizes the proposals for guidance projects?,Proposals are scrutinized by the GRADE Guidance Group to ensure alignment with GWG objectives and prevent duplication of efforts.
A0043,AI,The development methods of GRADE,Basic,What happens after a guidance project proposal is approved?,"Once approved, project groups are open to GWG members and newcomers, fostering diverse perspectives and expertise."
A0072,AI,Requirements for claiming the use of GRADE,Basic,What does GRADE stand for?,"GRADE stands for Grading of Recommendations Assessment, Development, and Evaluation."
A0082,AI,Requirements for claiming the use of GRADE,Basic,What is the purpose of evidence tables in GRADE?,Evidence tables are used to synthesize and present evidence systematically.
A0099,AI,Requirements for claiming the use of GRADE,Basic,What is meant by 'explicit judgments' in GRADE?,Explicit judgments refer to clear decisions made for each chosen criterion based on the evidence.
A0109,AI,Developing questions about interventions,Basic,What is the PICO framework used for?,The PICO framework is used to structure recommendation questions on management strategies.
A0112,AI,Developing questions about interventions,Basic,What types of interventions can be included in the PICO framework?,"Interventions can include drugs, surgical and interventional procedures, diagnostic strategies, psychological, or educational interventions."
A0140,AI,Developing questions about interventions,Basic,How does context influence guideline recommendations?,Contextual factors such as resources or accessibility influence whether an intervention is deemed appropriate.
A0148,AI,Limitations in the design or execution of randomized trials,Basic,What is the goal of randomization in trials?,"The goal of randomization is to avoid confounding bias, which occurs when the allocation of participants to a particular group leads to imbalances in factors that could affect the results."
A0151,AI,Limitations in the design or execution of randomized trials,Basic,What is allocation concealment?,Allocation concealment refers to measures taken to ensure that the randomization sequence is not revealed to individuals involved in enrolling and assigning participants to study groups.
A0162,AI,Limitations in the design or execution of randomized trials,Basic,How does bias in outcome measurement arise?,Bias in outcome measurement may arise when adjudicators are aware of the treatment assignment and record data in a way that favors one group.
A0204,AI,Inconsistency,Basic,What should GRADE users do if statistical tests do not indicate inconsistency?,They may conclude the assessment of inconsistency and not rate down the certainty of evidence.
