question;expected_response
What aspects do I need to consider when evaluating limitations in the design or execution in randomized trials?;Randomization process, systematic deviations from protocol, missing outcome data, outcome measurement, and selection of the reported result.
In the assessment of limitations in the design or execution in randomized trials, how can I compare trials with high and low risk of bias?;Sensitivity analyses can be conducted using both statistical and graphical methods. Statistical methods often involve comparing pooled estimates from studies with low and high risks of bias using goodness-of-fit tests, such as the Chi-Square test. A significant p-value suggests that the differences between low and high risk of bias trials are unlikely to be due to chance. However, because the unit of analysis in systematic reviews is individual trials, these statistical tests are typically underpowered. Additionally, the tests typically rely on the signal-to-noise principle, so they may fail to detect a true difference if the effect estimates' difference between low and high risk of bias trials is small or if there is important imprecision in the estimates. Sensitivity analysis can also be conducted using a graphical approach with pre-established ranges for the magnitude of the effect. If the effect estimates from studies with low and high risks of bias fall into different ranges of the effect (e.g., moderate vs. small), rating down the certainty of the evidence may be warranted. Conversely, if the effect estimates from low and high risk of bias studies fall within the same range (e.g., both in the trivial range), no rating down is required.
I am assessing limitations in the design or execution in randomized trials. Several of my studies have been classified as having a high risk of bias. However, the results of the meta-analytical measures pooling data from studies with low and with high risk of bias are coherent, with both pointing to small benefits of the intervention. How can I rate the certainty of evidence for this GRADE domain?;If the results from trials with low and high risk of bias are concordant (i.e., fall within the same range), rating down the certainty of the evidence is likely not appropriate. However, there are some paradigmatic situations that may prompt rating down the certainty by 1, 2, or even 3 levels, depending on the severity of the identified limitations.
I am assessing limitations in the design or execution in randomized trials. Several of my studies have been classified as having a high risk of bias, particularly since randomization has not been adequately conducted. How can I rate the certainty of evidence for this GRADE domain?;If there are significant concerns about randomization or allocation concealment in a substantial proportion of studies, or in studies that contribute most to the effect estimates (i.e., carry more weight in the meta-analysis), GRADE users should consider rating down the certainty by 1 or 2 levels, depending on the severity of the concern.
I am assessing limitations in the design or execution in randomized trials. Several of my studies have been classified as having a high risk of bias, as they were unblinded. On the other hand, the results of the meta-analytical measures pooling data from studies with low and with high risk of bias are coherent, with both pointing to small benefits of the intervention. How can I rate the certainty of evidence for this GRADE domain?;If the results from trials with low and high risk of bias are concordant (i.e., fall within the same range), rating down the certainty of the evidence is likely not appropriate. However, this is a paradigmatic situation in which rating down the certainty of the evidence may be considered. In general, when most studies in a body of evidence are unblinded, or when the studies that contribute the most to the effect estimates (i.e., carry more weight in the meta-analysis) are unblinded, GRADE users should first assess whether the prognosis of participants or the measurement of outcomes could have been influenced by participants, investigators, or outcome adjudicators. If the answer is no, not rating down is probably appropriate. If lack of blinding is indeed a concern, and GRADE users judge that it may have affected the prognosis of participants or the measurement of the outcomes, rating down by one level may be appropriate. Although in theory it is possible to rate down by more than 1 level due lack of blinding, meta-epidemiological evidence and practical experience suggest that those situations are exceptional.
I have an outcome for which there is only one study. How can I evaluate inconsistency?;By definition, if only one study is available, there is no concern about inconsistency.
Give examples of statistical tests that can be used to assess inconsistency.;Statistical measures, such as I² and Cochran's p-value, provide an initial assessment of inconsistency.
In my meta-analysis, I have severe heterogeneity (I2=60%). However, this heterogeneity seems to be fully explained by the region where the study was conducted – when performing separate analyses for studies performed in Europe and for studies performed in Asia, heterogeneity is no longer observed in any of those subgroups. How can I rate the certainty of evidence for inconsistency?;If credible hypotheses or evidence can explain the inconsistency, subgroup analyses should be conducted. If the inconsistency remained unexplained, the certainty of the evidence would have to be rated down. In this case, inconsistency is explained by one subgroup – the certainty of evidence should not be rated down.
In my meta-analysis, I have severe heterogeneity (I2=60%). This heterogeneity is not explained by any of the subgroup analysis I performed. The random-effects meta-analytical measure crosses one decision threshold. How can I rate the certainty of evidence for inconsistency?;"If credible hypotheses or evidence can explain the inconsistency, subgroup analyses should be conducted. If the inconsistency remains unexplained, the certainty of the evidence should be rated down.
Considering the crossing of one decision threshold, you may rate down the certainty of evidence by one level.
Make sure you evaluate imprecision in a way that you are not over-penalizing the evaluation of the certainty of evidence."
How many decision thresholds do I need to define to evaluate imprecision?;GRADE users may decide to set two thresholds to judge precision, one for benefits and one for harms.  These thresholds could be the minimal important difference, similar to the threshold between no or trivial and small effects in Evidence to Decision (EtD) frameworks, or other thresholds of interest. Although using only two thresholds simplifies the assessment and can lead to higher certainty of evidence, it has the drawback of only indicating the presence or absence of a benefit or harm, without estimating the magnitude of the effect which is required for decision-making. If decision-makers require more detailed information about the effect size such as when using the EtDs (i.e., whether the effect is small, moderate, or large), additional thresholds may need to be considered.
When evaluating imprecision, what are the situations in which I need to consider if the analysis has a sufficiently large number of participants?;When GRADE users face the situation of a confidence interval that does not overlap the thresholds of interest (i.e., no reason to rate down for imprecision based on the confidence intervals) and the effect is sufficiently large (e.g., relative risk reduction or an increase over 50%), it is important to check whether the analysis has sufficient power by assessing the review information size. That is, if the effect is large or moderate and it is based on a small number of events, you may need to use the review information size (RIS) to determine the required sample size for small, moderate, or large effects to assess if further rating down is required.
The meta-analytical measure of my analysis points to a trivial effect and its confidence interval crosses one decision threshold. How can I rate the certainty of evidence for imprecision?;Rate down the certainty by one level according to the number of thresholds crossed.
The meta-analytical risk ratio of my analysis points to a large effect and its confidence interval does not cross any decision threshold. A total of 520 participants have been assessed. How can I rate the certainty of evidence for imprecision?;When GRADE users face the situation of a confidence interval that does not overlap the thresholds of interest (i.e., no reason to rate down for imprecision based on the confidence intervals) and the effect is sufficiently large (e.g., relative risk reduction or an increase over 50%), it is important to check whether the analysis has sufficient power by assessing the review information size. A review information size calculation shows that to demonstrate a small effect with sufficient precision, 496 participants are needed, for a moderate effect 1,116 and for a large effect 10,044. In your analysis, you have evaluated 520 participants, which is lower than the review information size to demonstrate a moderate or large effect with sufficient precision. You should rate down the certainty of evidence by two levels.
The meta-analytical risk ratio of my analysis points to a large effect and its confidence interval does not cross any decision threshold. How can I rate the certainty of evidence for imprecision?;When GRADE users face the situation of a confidence interval that does not overlap the thresholds of interest (i.e., no reason to rate down for imprecision based on the confidence intervals) and the effect is sufficiently large (e.g., relative risk reduction or an increase over 50%), it is important to check whether the analysis has sufficient power by assessing the review information size. A review information size calculation shows that to demonstrate a small effect with sufficient precision, 496 participants are needed, for a moderate effect 1,116 and for a large effect 10,044. Without having information on the number of participants, it is not possible to indicate how many levels you should rate down the certainty of evidence.
